Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
Q04019	NA	YMR245W	NA	YM80	YMR245W	NA	0
Q04838	NA	YMR254C	NA	YM88	YMR254C	A0A1S0T0B2;	0
Q04867	35490;	YMR310C	NP_014041	YM91	YMR310C	D6W0D7;	0
Q03703	35133;	YML037C	NP_013675	YMD7	YML037C	D6VZD8;	0
Q6Q5F3	NA	YPR053C	NA	YP053	YPR053C	A0A1S0T0C7;	0
Q12194	36113;	YPL066W	NP_015259	YP066	YPL066W	D6W3U9;	0
P0C5R6	NA	YPR074W-A	NA	YP074	YPR074W-A	NA	0
Q06813	36249;	YPR078C	NP_015403	YP078	YPR078C	D6W480;	0
O13519	NA	YPL136W	NA	YP136	YPL136W	NA	0
P0C2I9	36304;	TY1B-PR1	NP_058191	YP12B	YPR137C-B	D6W4D4;	2
Q8TGR9	37061;	YPL152W-A	NP_878180	YP152	YPL152W-A	D6W3L6;	0
Q12697	34679;	YPK9	NP_014934	YPK9	YOR291W	D6W2Y9;	0
Q12010	34310;	YPQ1	NP_014549	YPQ1	YOL092W	D6W1X6;	0
O13570	NA	YPR142C	NA	YPR42	YPR142C	Q6B0Z4;	0
O13583	NA	YPR077C	NA	YPR77	YPR077C	NA	0
P53057	33019;	YPS5	NP_011255	YPS5	YGL259W	D6VV75;	0
Q06325	32405;	YPS7	NP_010636	YPS7	YDR349C	D6VSX9;Q66RD4;	0
P53584	35602;	YTP1	NP_014162	YTP1	YNL237W	D6W0V6;	0
Q12324	34486;	YVC1	NP_014730	YVC1	YOR087W	D6W2E9;Q08500;Q7LGN3;	0
P20107	35422;	ZRC1	NP_013970	ZRC1	YMR243C	D6W070;	0
P40021	36768;	ZRG8	NP_010950	ZRG8	YER033C	D3DLT2;	0
Q06267	NA	YLR184W	NA	YL184	YLR184W	NA	0
O13573	NA	YLR252W	NA	YL252	YLR252W	NA	0
Q06146	31525;	YLR257W	NP_013358	YL257	YLR257W	D6VYQ4;	0
O13542	NA	YLR282C	NA	YL282	YLR282C	NA	0
Q3E771	36960;	YLR285C-A	NP_878130	YL285	YLR285C-A	D6VYT0;	0
O13543	NA	YLR294C	NA	YL294	YLR294C	NA	0
O13544	NA	YLR302C	NA	YL302	YLR302C	A0A1S0T0A9;	0
O13553	NA	YLR317W	NA	YL317	YLR317W	NA	0
Q3E810	36963;	YLR342W-A	NP_878133	YL342	YLR342W-A	D6VYY1;	0
Q06139	31609;	YLR346C	NP_013450	YL346	YLR346C	D6VYY5;	0
